"game_num","game_date","home_team","away_team","gsw_pts","opp_pts","ortg","drtg","net","win"
32,NA,"DET","GSW",102,98,100.314712824548,101.70195101702,-1.38723819247191,TRUE
33,NA,"GSW","POR",111,104,116.254713028907,107.216494845361,9.03821818354575,TRUE
34,NA,"GSW","DAL",112,97,119.199659429544,103.765511339324,15.4341480902206,TRUE
35,NA,"LAL","GSW",116,114,99.7935306262904,101.423487544484,-1.62995691819354,TRUE
36,NA,"GSW","MEM",97,84,111.494252873563,89.0207715133531,22.4734813602101,TRUE
37,NA,"GSW","LAL",113,106,110.914801727523,99.3625796775403,11.5522220499823,TRUE
38,NA,"GSW","DEN",81,96,83.955223880597,96.3855421686747,-12.4303182880777,FALSE
39,NA,"GSW","UTA",126,101,119.453924914676,94.498502994012,24.9554219206638,TRUE
40,NA,"GSW","CHA",100,111,98.3090837593394,107.808857808858,-9.49977404951844,FALSE
41,NA,"GSW","MEM",141,128,142.424242424242,129.712201053912,12.7120413703308,TRUE
42,NA,"DAL","GSW",125,122,116.430700447094,116.54566297287,-0.114962525775809,TRUE
43,NA,"HOU","GSW",124,114,120.622568093385,111.024542267238,9.59802582614719,TRUE
44,NA,"GSW","DEN",124,114,123.703112529928,113.954418232707,9.74869429722126,TRUE
45,NA,"GSW","LAC",106,125,103.475204998048,114.343212586901,-10.8680075888532,FALSE
46,NA,"MIL","GSW",108,94,122.838944494995,99.703012303776,23.1359321912195,TRUE
47,NA,"TOR","GSW",127,125,130.497328401151,121.265036864571,9.23229153657962,TRUE
48,NA,"CLE","GSW",118,108,115.45988258317,101.237345331834,14.2225372513367,TRUE
49,NA,"CHI","GSW",119,112,113.333333333333,103.016924208977,10.3164091243561,TRUE
50,NA,"HOU","GSW",108,116,103.250478011472,112.884390813546,-9.63391280207384,FALSE
51,NA,"GSW","NYK",123,112,122.02380952381,112.721417069243,9.30239245456637,TRUE
52,NA,"GSW","MIN",126,113,126.506024096386,105.686494575383,20.8195295210021,TRUE
53,NA,"GSW","BOS",109,105,113.023641642472,103.38716029933,9.63648134314155,TRUE
54,NA,"UTA","GSW",99,129,94.9731389102072,127.520759193357,-32.5476202831498,FALSE
55,NA,"SAC","GSW",119,104,110.144390966309,98.4848484848485,11.6595424814603,TRUE
56,NA,"GSW","DAL",121,103,127.637130801688,100.507416081187,27.1297147205012,TRUE
57,NA,"GSW","SAS",122,105,126.293995859213,103.591160220994,22.7028356382188,TRUE
58,NA,"GSW","PHX",129,83,126.173708920188,77.0802377414562,49.0934711787316,TRUE
59,NA,"POR","GSW",117,123,108.97913561848,118.771726535342,-9.79259091686194,FALSE
60,NA,"GSW","LAC",134,127,131.424087877599,115.49654419789,15.9275436797089,TRUE
61,NA,"GSW","OKC",112,80,115.798180314309,79.0201501382853,36.7780301760241,TRUE
62,NA,"NYK","GSW",125,111,124.452409398646,106.771835321277,17.6805740773685,TRUE
63,NA,"WAS","GSW",109,101,110.997963340122,103.86672151378,7.13124182634185,TRUE
64,NA,"ATL","GSW",114,109,105.869242199108,98.3754512635379,7.49379093557054,TRUE
65,NA,"GSW","BKN",114,101,114.182692307692,99.0196078431373,15.1630844645551,TRUE
66,NA,"GSW","SAS",110,107,106.6718386346,101.982462828822,4.68937580577851,TRUE
67,NA,"POR","GSW",108,125,114.213197969543,127.707396812423,-13.4941988428802,FALSE
68,NA,"MIN","GSW",103,109,100.743348982786,108.739026336792,-7.99567735400611,FALSE
69,NA,"GSW","LAL",117,106,113.240418118467,102.593883081688,10.6465350367789,TRUE
70,NA,"PHX","GSW",124,109,115.714818962299,104.047346315388,11.6674726469118,TRUE
71,NA,"SAS","GSW",75,89,78.0924614743857,94.4397283531409,-16.3472668787552,FALSE
72,NA,"GSW","ATL",106,94,111.767186840995,95.1417004048583,16.6254864361371,TRUE
73,NA,"GSW","UTA",91,110,98.4848484848485,112.33660130719,-13.8517528223411,FALSE
74,NA,"GSW","IND",81,92,92.087312414734,101.905183872397,-9.81787145766302,FALSE
75,NA,"GSW","MIL",107,116,109.631147540984,114.39842209073,-4.76727454974616,FALSE
76,NA,"SAC","GSW",112,96,110.540860639558,96.6183574879227,13.9225031516351,TRUE
77,NA,"GSW","PHX",117,107,117.046818727491,102.845059592464,14.2017591350266,TRUE
78,NA,"OKC","GSW",111,107,110.381861575179,103.601859024012,6.7800025511666,TRUE
79,NA,"IND","GSW",106,126,108.651086510865,127.789046653144,-19.1379601422789,FALSE
80,NA,"GSW","NOP",120,126,115.562403697997,125.148986889154,-9.58658319115683,FALSE
81,NA,"PHX","GSW",117,100,111.854684512428,96.1168781237985,15.7378063886298,TRUE
82,NA,"UTA","GSW",79,119,78.968412634946,120.542949756888,-41.5745371219421,FALSE
